City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
552,constantine,36.365,6.6147,275.82,87,75,3.09,DZ,1674523894
553,kwinana,-32.25,115.7667,303.04,45,4,1.79,AU,1674523867
554,edd,13.9297,41.6925,297.69,61,7,6.47,ER,1674523895
555,lahij,13.1667,44.5833,292.07,83,83,2.29,YE,1674523895
556,verkh-usugli,52.7,115.1667,242.89,77,6,1.05,RU,1674523896
557,iwamizawa,43.2003,141.7597,267.64,81,100,4.62,JP,1674523896
558,kapoeta,4.7717,33.5903,302.01,31,100,2.17,SS,1674523897
559,muzhi,65.3667,64.6667,267.44,88,100,2.57,RU,1674523897
560,inhambane,-23.865,35.3833,298.6,78,93,4.55,MZ,1674523578
561,nanlong,31.3533,106.0631,277.32,33,39,3.54,CN,1674523898
562,necochea,-38.5473,-58.7368,289.64,68,0,5.3,AR,1674523557
563,andenes,69.3143,16.1194,276.14,56,75,11.83,NO,1674523899
564,ambulu,-8.345,113.6058,301.72,72,63,0.96,ID,1674523899
565,raudeberg,61.9875,5.1352,280.85,8,100,10.25,NO,1674523900
566,iberia,29.9502,-91.7507,284.19,62,0,1.54,US,1674523900
567,kieta,-6.2167,155.6333,302.4,68,99,2.28,PG,1674523900
568,altamira,-3.2033,-52.2064,296.2,100,20,1.54,BR,1674523629
569,coquimbo,-29.9533,-71.3436,291.0,88,0,2.57,CL,1674523611
570,jiaocheng,24.6774,116.1389,283.3,59,64,4.25,CN,1674523901
571,bambanglipuro,-7.95,110.2833,301.05,73,100,1.75,ID,1674523901
572,kayes,14.0,-11.0,299.9,16,5,2.11,ML,1674523902
573,am timan,11.0297,20.2827,297.58,17,100,3.25,TD,1674523580
574,elk,53.8282,22.3647,272.32,84,99,0.36,PL,1674523903
575,santa catalina,9.3337,122.8637,301.14,78,100,5.01,PH,1674523903
576,mazamari,-11.3258,-74.5308,294.84,92,100,0.85,PE,1674523903
577,sangmelima,2.9333,11.9833,291.32,99,27,1.18,CM,1674523904
